post_id,title,link,raw_link,score,user,comments
45389267,,,,338.0,kevlened,110.0
45388021,,,,561.0,knowtheory,246.0
45391871,,,,93.0,pykello,8.0
45392922,,,,25.0,chmaynard,14.0
45391444,,,,127.0,kristianp,16.0
45356429,,,,151.0,andsoitis,25.0
45392164,,,,69.0,exvi,12.0
45391566,,,,87.0,TheFreim,112.0
45389965,,,,147.0,1970-01-01,140.0
45364932,,,,165.0,jonbruner,54.0
45392744,,,,26.0,vinhnx,5.0
45386578,,,,238.0,pavel_lishin,421.0
45389293,,,,106.0,ShaggyHotDog,32.0
45388822,,,,126.0,debrisapron,137.0
45390856,,,,78.0,rrjjww,20.0
45357732,,,,197.0,beckford,111.0
45388728,,,,137.0,babelfish,50.0
45389464,,,,88.0,bmau5,31.0
45390121,,,,172.0,cnst,98.0
45391987,,,,27.0,georgecmu,36.0
45390866,,,,45.0,abhishaike,7.0
45391786,,,,82.0,hhs,40.0
45353604,,,,4.0,technivis,3.0
45382434,,,,388.0,ptk,232.0
45367362,,,,36.0,jonah-archive,4.0
45392053,,,,30.0,kelvinquee,4.0
45381590,,,,140.0,vmayoral,80.0
45336775,,,,137.0,nadis,100.0
45387494,,,,125.0,thsName,52.0
45381810,,,,400.0,alex77456,655.0
45388675,,,,,,
45347619,,,,119.0,marcobambini,45.0
45383637,,,,245.0,hggh,117.0
45364503,,,,20.0,gmac,
45387462,,,,333.0,Bender,65.0
45386872,,,,91.0,decodebytes,17.0
45391220,,,,26.0,sonabinu,
45389889,,,,124.0,bookofjoe,69.0
45370209,,,,7.0,Tycho87,
45386690,,,,61.0,pseudolus,19.0
45359083,,,,24.0,doener,6.0
45387155,,,,96.0,1vuio0pswjnm7,105.0
45384481,,,,391.0,agluszak,205.0
45384653,,,,121.0,justinclift,38.0
45392945,,,,12.0,transpute,1.0
45334001,,,,419.0,surprisetalk,122.0
45382645,,,,169.0,michelangelo,38.0
45391078,,,,48.0,Nezteb,25.0
45391299,,,,22.0,redbell,15.0
45387421,,,,51.0,neural_thing,12.0
45390999,,,,45.0,vladyslavfox,12.0
45346014,,,,209.0,bondarchuk,73.0
45387374,,,,177.0,zmccormick7,170.0
45380699,,,,320.0,redbell,280.0
45388770,,,,30.0,kaycebasques,2.0
45391467,,,,12.0,downboots,
45391027,,,,12.0,ibobev,
45389374,,,,16.0,klaussilveira,
45379325,,,,185.0,doener,155.0
45350207,,,,34.0,mtlynch,5.0
45370760,,,,22.0,Twixes,16.0
45352633,,,,110.0,ibobev,22.0
45387337,,,,77.0,indigodaddy,117.0
45391543,,,,60.0,zdw,39.0
45367046,,,,211.0,snowmaker,265.0
45391328,,,,8.0,mikeharper,
45392073,,,,23.0,jimt1234,7.0
45382755,,,,346.0,emporas,175.0
45381631,,,,92.0,PaulHoule,48.0
45373008,,,,103.0,mfkhalil,69.0
45377748,,,,169.0,sadiq,53.0
45392648,,,,20.0,Bender,4.0
45375845,,,,529.0,meetpateltech,269.0
45387961,,,,22.0,Bogdanp,
45340215,,,,73.0,todsacerdoti,72.0
45382397,,,,264.0,jonny_eh,164.0
45375477,,,,604.0,meetpateltech,696.0
45389914,,,,10.0,giuliomagnifico,
45392438,,,,23.0,breve,6.0
45344250,,,,130.0,tbillington,77.0
45371283,,,,246.0,todsacerdoti,397.0
